var,name,mean,lwr,upr,string
Peak Ct,"Omicron: 1-2 doses, no symptoms",26.7,25.7,27.7,"26.7 (25.7, 27.7)"
Peak Ct,"Omicron: 1-2 doses, symptoms",25.3,24.5,26.1,"25.3 (24.5, 26.1)"
Peak Ct,"Omicron: boosted, no symptoms",26.3,25.7,27,"26.3 (25.7, 27)"
Peak Ct,"Omicron: boosted, symptoms",25.4,25,25.8,"25.4 (25, 25.8)"
Peak GEML,"Omicron: 1-2 doses, no symptoms",6.3,6.1,6.6,"6.3 (6.1, 6.6)"
Peak GEML,"Omicron: 1-2 doses, symptoms",6.7,6.5,6.9,"6.7 (6.5, 6.9)"
Peak GEML,"Omicron: boosted, no symptoms",6.4,6.3,6.6,"6.4 (6.3, 6.6)"
Peak GEML,"Omicron: boosted, symptoms",6.7,6.6,6.8,"6.7 (6.6, 6.8)"
Proliferation time,"Omicron: 1-2 doses, no symptoms",3.7,3.2,4.2,"3.7 (3.2, 4.2)"
Proliferation time,"Omicron: 1-2 doses, symptoms",3.7,3.2,4.2,"3.7 (3.2, 4.2)"
Proliferation time,"Omicron: boosted, no symptoms",4.3,3.9,4.8,"4.3 (3.9, 4.8)"
Proliferation time,"Omicron: boosted, symptoms",3.8,3.5,4.1,"3.8 (3.5, 4.1)"
Clearance time,"Omicron: 1-2 doses, no symptoms",5.9,5.2,6.6,"5.9 (5.2, 6.6)"
Clearance time,"Omicron: 1-2 doses, symptoms",6.3,5.8,6.8,"6.3 (5.8, 6.8)"
Clearance time,"Omicron: boosted, no symptoms",7.4,6.8,8,"7.4 (6.8, 8)"
Clearance time,"Omicron: boosted, symptoms",8.7,8.3,9.1,"8.7 (8.3, 9.1)"
